canonical_id,distinct_domains,total_uses,distribution
skill:compliance,11,102,"engineering:40, finance:18, supply:11, operations:8, legal:7, sales:5, hr:4, data:4, admin:2, other:2, marketing:1"
skill:project_management,10,191,"engineering:53, operations:40, supply:37, sales:20, data:12, finance:12, admin:7, hr:6, other:2, marketing:2"
skill:business_intelligence,10,116,"finance:45, data:19, operations:14, sales:11, engineering:8, hr:8, supply:6, legal:2, marketing:2, admin:1"
skill:process_optimization,9,76,"engineering:28, finance:13, operations:10, supply:10, data:5, hr:4, sales:4, admin:1, other:1"
skill:sap,9,37,"supply:12, finance:9, engineering:5, hr:4, operations:2, data:2, admin:1, legal:1, sales:1"
skill:data_analysis,8,72,"data:19, engineering:15, sales:9, finance:7, supply:6, hr:6, operations:5, marketing:5"
skill:crm_management,8,41,"sales:26, marketing:4, finance:3, supply:2, engineering:2, hr:2, data:1, admin:1"
skill:excel,8,27,"finance:11, data:5, operations:5, engineering:2, supply:1, hr:1, sales:1, admin:1"
skill:powerpoint,8,10,"finance:3, hr:1, legal:1, marketing:1, operations:1, sales:1, data:1, supply:1"
skill:documentation,7,65,"engineering:46, operations:7, finance:4, supply:4, sales:2, data:1, other:1"
skill:budgeting,7,63,"finance:33, supply:11, operations:9, engineering:7, hr:1, data:1, sales:1"
skill:market_analysis,7,49,"sales:31, supply:9, engineering:4, data:2, hr:1, finance:1, marketing:1"
skill:cloud_architecture,7,17,"engineering:8, data:3, supply:2, sales:1, finance:1, admin:1, operations:1"
skill:negotiation,6,14,"sales:5, supply:4, engineering:2, admin:1, hr:1, marketing:1"
skill:quality_engineering,6,12,"finance:4, supply:3, engineering:2, data:1, operations:1, sales:1"
skill:b2b_sales,5,75,"sales:59, hr:6, supply:5, operations:3, engineering:2"
skill:supply_chain_management,5,37,"supply:31, sales:3, admin:1, data:1, operations:1"
skill:recruitment,5,36,"hr:21, sales:9, engineering:3, data:2, operations:1"
skill:power_bi,5,23,"data:8, supply:6, finance:4, engineering:3, operations:2"
skill:sql_querying,5,22,"engineering:9, data:7, admin:2, hr:2, marketing:2"
skill:lead_generation,5,21,"sales:11, engineering:3, hr:3, marketing:2, supply:2"
skill:financial_analysis,5,17,"finance:10, operations:3, sales:2, data:1, legal:1"
skill:onboarding,5,17,"hr:8, sales:4, engineering:3, admin:1, other:1"
skill:vendor_management,5,17,"supply:9, engineering:4, finance:2, admin:1, operations:1"
skill:market_research,5,15,"sales:11, data:1, hr:1, operations:1, supply:1"
skill:salesforce,5,15,"sales:6, marketing:4, data:2, supply:2, hr:1"
skill:risk_analysis,4,20,"engineering:8, finance:6, sales:4, data:2"
skill:version_control,4,13,"engineering:9, data:2, finance:1, marketing:1"
skill:backend_development,3,16,"engineering:14, admin:1, data:1"
skill:maintenance_planning,3,11,"engineering:7, supply:3, finance:1"
skill:mechanical_design,2,15,"engineering:13, supply:2"
skill:containerization,2,11,"engineering:8, data:3"
