external_id,title,company,country,domain_tag,confidence,method,evidence
242184,AML KYC Analyst (H/F),ENGIE GLOBAL MARKETS,BELGIQUE,sales,0.25,rules,"[""sales"", ""business"", ""client""]"
237230,Consultant - Banking & Insurance (H/F),INTYS,BELGIQUE,data,0.25,rules,"[""data"", ""reporting""]"
237014,AI Solutions & Automation Specialist (H/F),BECK & POLLITZER FRANCE SAS,ROYAUME-UNI,sales,0.3,rules,"[""business"", ""client"", ""commercial""]"
242248,VIE - Certificate Portfolio Manager (H/F),ENGIE GLOBAL MARKETS,BELGIQUE,sales,0.3,rules,"[""sales"", ""business"", ""client""]"
240116,HR PROJECT LEADER & B-CORP LOCAL CHAMPION (H/F),M&L DISTRIBUTION (FRANCE) S.A.R.L.,BELGIQUE,hr,0.3077,rules,"[""recruitment"", ""hr"", ""onboarding""]"
237194,BUSINESS ANALYST/MOA (F/M) (H/F),AUDENSIEL NORD,BELGIQUE,data,0.3333,rules,"[""analyst""]"
238407,CRM B2B Lifecycle Manager - VIE - Barcelona (H/F),FLASH CONTRACT,ESPAGNE,marketing,0.3333,rules,"[""marketing"", ""content"", ""communication""]"
242474,Data Management & Analytical Method Lifecycle (H/F),BAXTER S.A.S,BELGIQUE,engineering,0.3333,rules,"[""software"", ""automation""]"
237103,PLANT BUYER / REPUBLIQUE TCHEQUE (H/F),"TREVES PRODUCTS, SERVICES & INNOVATION",TCHEQUIE / REPUBLIQUE TCHEQUE,supply,0.3333,rules,"[""supply"", ""buyer""]"
236437,Plant Energy Engineer (H/F),PLASTIC OMNIUM AUTO EXTERIEUR SERVICES,ETATS-UNIS,engineering,0.3333,rules,"[""engineer""]"
242133,Process Engineer (H/F),ADISSEO FRANCE S.A.S.,CHINE,engineering,0.3333,rules,"[""engineer""]"
242429,QA Validation (H/F),SERVIER INTERNATIONAL,IRLANDE,sales,0.3333,rules,"[""sales"", ""business""]"
242400,VIE - Supply Portfolio Manager B2B (H/F),ENGIE GLOBAL MARKETS,BELGIQUE,sales,0.3333,rules,"[""sales"", ""business"", ""commercial""]"
238450,Business Developer (H/F),MAURIC,EMIRATS ARABES UNIS,sales,0.375,rules,"[""business"", ""commercial""]"
242129,HRBP & Global Mobility Specialist (H/F),AIRBUS,JAPON,hr,0.375,rules,"[""talent"", ""hr"", ""onboarding""]"
238338,QA Analyst (H/F),ASF ACT DIGITAL,PORTUGAL,engineering,0.375,rules,"[""engineer"", ""software"", ""automation""]"
238241,VIE - HR Generalist (12 months) H/F (H/F),AMUNDI ASSET MANAGEMENT,LUXEMBOURG,hr,0.3846,rules,"[""recruitment"", ""talent"", ""hr"", ""onboarding""]"
242096,AI Americas - US HR Digital (H/F),AIRBUS,ETATS-UNIS,data,0.4,rules,"[""data"", ""bi"", ""tableau"", ""power bi"", ""reporting"", ""dashboard""]"
BF-242349,Artificial Intelligence Officer (H/F),LYNXEO FRANCE,ITALIE,data,0.4,rules,"[""python"", ""data""]"
235953,Consultant SEA/SMA (H/F),EFE INTERNATIONAL,ESPAGNE,marketing,0.4,rules,"[""marketing"", ""seo""]"
242461,GMA Contract manager (H/F),AVIONS TRANSPORT REGIONAL,ETATS-UNIS,legal,0.4,rules,"[""contract""]"
242093,HR Transversal Management (H/F),AIRBUS,CHINE,hr,0.4,rules,"[""hr""]"
232362,INGÉNIEUR(E) EMBARQUÉ LINUX (YOCTO) (H/F),WITEKIO HOLDING,ETATS-UNIS,engineering,0.4,rules,"[""ingenieur"", ""ingénieur""]"
238201,Java Developer (H/F),ALTEN,SUEDE,engineering,0.4,rules,"[""developer""]"
