external_id,title,company,country,domain_tag,confidence,method,evidence
238291,Assistant(e) Architecte d'intérieur (H/F),MAISON KYKA,MAURICE,admin,1.0,rules,"[""assistant""]"
242128,Chargé(e) Back Office - Settlement/Transfert (H/F),ARKEA PROCAPITAL SERVICES,BELGIQUE,admin,1.0,rules,"[""office""]"
237270,GESTIONNAIRE DE PAIE (H/F),HR PATH WD,ESPAGNE,admin,1.0,rules,"[""gestionnaire""]"
242435,Gestionnaire/administrateur(trice) de contrats F/H (H/F),ORANO MINING,CANADA,admin,1.0,rules,"[""gestionnaire""]"
238195,SUPPORT TECHNIQUE NUTRITION RUMINANT (H/F),VITALAC,VIET NAM,admin,1.0,rules,"[""support""]"
236352,Spécialiste Support Manufacturing & Conformité GMP (H/F),AMARIS FRANCE SAS,BELGIQUE,admin,1.0,rules,"[""support""]"
238371,VIE Functional Excellence Support (H/F),VALEO COMFORT AND DRIVING ASSISTANCE,ALLEMAGNE,admin,1.0,rules,"[""support""]"
237997,AI Data Engineer (H/F),ASF ACT DIGITAL,PORTUGAL,data,0.9,rules,"[""data engineer""]"
242079,AI Operations Engineer - VIE - Barcelona (H/F),FLASH CONTRACT,ESPAGNE,data,0.9,rules,"[""data analyst""]"
242078,AI Transformation & Adoption Manager (H/F),SERVIER INTERNATIONAL,ARGENTINE,data,1.0,rules,"[""data"", ""reporting""]"
238437,Analyste SOC (H/F),ASTEK FRANCE,ESPAGNE,data,1.0,rules,"[""analyste""]"
242190,Analyste stratégique (H/F),TOTALENERGIES SE,ARGENTINE,data,1.0,rules,"[""analyste""]"
238395,Automatisation des Données Techniques (H/F),AIRBUS,INDE,data,0.9,rules,"[""data engineer""]"
242439,Business operations improvement Analyst (H/F),AIRBUS OPERATIONS,ETATS-UNIS,data,0.9,rules,"[""machine learning""]"
239997,Chargé d'Intégration et Développement (H/F),DELTA PLUS GROUP,ITALIE,data,0.9,rules,"[""business intelligence""]"
238422,Corporate Credit Analyst (H/F),BANQUE FEDERATIVE DU CREDIT MUTUEL,ALLEMAGNE,data,1.0,rules,"[""analyst"", ""analyste"", ""reporting""]"
231966,DATA ANALYST - DATA SCIENTIST - DATA ENGINEER H/F (H/F),CLEEVEN ND,BELGIQUE,data,0.9,rules,"[""data analyst""]"
242414,DATA ANALYST/EXPERT DATAIKU (H/F),DAVIDSON NORD,BELGIQUE,data,0.9,rules,"[""data analyst""]"
