external_id,title,company,domain_tag,total_skills,core_count
241000,Process Engineer (H/F),LESAFFRE INTERNATIONAL,engineering,5,0
242502,Responsable Développement Marché - Asie du Sud-Est (Business Development) M/F (H/F),AIRBUS HELICOPTERS,sales,5,0
242505,Methods & Tools Quality Engineer (H/F),ALSTOM TRANSPORT SA,data,5,0
235752,CHIEF OF STAFF (H/F),BRUCE,operations,4,0
237373,Junior Industrial Controller (H/F),RIMOWA INTERNATIONAL,supply,4,0
242328,INGÉNIEUR(E) MÉTHODES ET MAINTENANCE (H/F),PRODUITS PLASTIQUES PERFORMANTS 3P,operations,4,0
242470,VIE Management Controller (H/F),VALEO ELECTRIFICATION,finance,4,0
237797,Business Developer (H/F),AMARIS FRANCE SAS,sales,4,0
238257,VIE Management Controller (H/F),VALEO SYSTEMES D ESSUYAGE,finance,4,0
242180,V.I.E JUNIOR PROJECT MANAGER - FRANCFORT - H/F (H/F),ODDO BHF SCA,operations,4,0
238300,Clinical Diagnostics Purchasing Analyst (H/F),EUROFINS GSC FRANCE,supply,4,0
242093,HR Transversal Management (H/F),AIRBUS,hr,4,0
236331,Contrôleur des ventes et des opérations (S&OP) (H/F),RAIL LOGISTICS EUROPE,finance,4,0
242156,Contrôleur de Gestion (H/F),INNOHA,finance,4,0
238256,V.I.E Junior Financial Controller (H/F),TRANSDEV GROUP,finance,4,0
232562,BUSINESS MANAGER (H/F),ALPINEO CONSULTING LYON,hr,4,0
242475,Dessinateur Projeteur Électricité (X/H/F) (H/F),FRATECH RP,engineering,4,0
242369,DATA SCIENTIST (H/F),DAVIDSON NORD,data,4,0
242146,Customer Success Manager (H/F),AFFLUENCES,sales,4,0
242387,Supply Chain Executive (H/F),BEL,supply,4,0
242473,Business Analyst F/H (H/F),BRED BANQUE POPULAIRE,data,4,0
242246,Sales and Admissions officer (H/F),ALBERT GLOBAL DATA SCHOOL,sales,4,0
242092,Ingénieur Approvisionnement / Ordonnancement (H/F),ISALYS CONSULTING FRANCE,supply,4,0
238223,Ingénieur Design (H/F),EJ PICARDIE,engineering,4,0
242343,Business Development Analyst (H/F),AIRBUS,sales,4,0
242211,HR analyst & project manager (H/F),AIRBUS ATLANTIC,operations,4,0
242365,Ingénieur projet Nucléaire (H/F),FRATECH RP,finance,4,0
242115,Financial Planning & Analysis III (H/F),KONI FRANCE FAB AMORTISSEURS,finance,4,0
242071,contrôleur de gestion (H/F),CCEI,finance,4,0
BF-242343,Business Development Analyst (H/F),AIRBUS,sales,4,0
242531,V.I.E. Ingénieur(e) Commercial Junior (H/F),LINEDATA SERVICES LEASING & CREDIT,engineering,4,0
238319,Financial Controller (H/F),SHOTGUN,finance,4,0
242318,Backend Developer (Python) | DevOps Focus (H/F),PRODUCT DEVELOPMENT EMPLOYENEURSHIP,engineering,4,0
238351,Labelling Innovation & Transformation Specialist (H/F),SANOFI WINTHROP INDUSTRIE,supply,4,0
238205,GTM ENGINEER (GROWTH OPS) HF (H/F),EFE INTERNATIONAL,marketing,4,0
238340,VIE - Retrofit Program Controller (m/f) (H/F),ALSTOM TRANSPORT SA,operations,4,0
238258,CHEF(FE) DE PROJET ENERGETIQUE (H/F),ALVA SYSTEMS,operations,4,0
236329,Ingénieur Procédés (H/F),AMARIS FRANCE SAS,engineering,4,0
238368,ASSISTANT COMPTABILITE ET CONTROLE DE GESTION F/H (H/F),EIFFAGE INTERNATIONAL,finance,4,0
