offer_id,external_id,domain_tag,title,kept,dropped,error
2,BF-242362,hr,Development Technician VIE (HR) (H/F),4,1,
10,BF-242353,hr,Chargé(e) de mission (universitaire) (H/F),5,0,
41,242537,other,Chargé(e) de mission (H/F),2,3,
49,242519,marketing,D&IS Product Marketing (H/F),5,0,
51,242526,sales,VIA Chargé(e) de Développement Tech & Services à Houston (H/F),5,0,
52,242552,finance,Investment controlling (H/F),4,1,
53,242548,finance,Contrôleur de gestion (H/F),5,0,
54,242547,sales,Key Account Manager Junior (H/F),3,2,
56,242543,admin,V.I.E. Trustee Administrator (H/F),5,0,
57,242541,finance,CONTROLEUR DE GESTION (H/F) - BELGIQUE,5,0,
