offer_id,external_id,domain_tag,title,kept,dropped,error
63,242531,engineering,V.I.E. Ingénieur(e) Commercial Junior (H/F),3,0,
107,242500,data,Junior Project Officer – Battery Electric Trains (H/F),3,0,
117,242366,finance,INGENIEUR QUALITE – SHANGHAI (H/F),3,0,
145,242429,sales,QA Validation (H/F),3,0,
155,242492,finance,Coordinateur qualité client (H/F),3,0,
241,242298,finance,Ingénieur Production et Qualité (H/F),3,0,
277,230523,engineering,TECH LEAD (H/F),3,0,
307,242365,finance,Ingénieur projet Nucléaire (H/F),3,0,
321,237270,admin,GESTIONNAIRE DE PAIE (H/F),2,0,
324,242350,finance,VIE - Meeting Planner contrat H_F_X - BRUXELLES - 6 MONTHS (H/F),3,0,
348,242296,finance,Ingénieur Bureau d'Études Électrotechnique (H/F),3,0,
353,238332,finance,Responsable maintenance (H/F),3,0,
357,238076,engineering,Electrical Engineer : Primary Engineering – Substation Construction (H/F),0,0,
377,242295,sales,Chargé de projet (H/F),3,0,
392,242154,finance,Trade Finance Junior (H/F),3,0,
415,242239,supply,Vulnerability Management Analyst (H/F),3,0,
429,238049,data,"V.I.E. – Project Coordinator – Edmonton, CANADA- (H/F)",3,0,
462,242189,supply,Chargé(e) de communication (H/F),3,0,
500,236247,finance,Ingénieur qualité (H/F),3,0,
527,242070,finance,Ingénieur Robotique et Systèmes de fabrication autonome (H/F),0,3,
560,242121,engineering,DEVELOPPEUR COMMERCIAL ITALIE (H/F),3,0,
602,242101,finance,Graduate Expert - Ingénieur en traitement des eaux résiduaires H/F (H/F),3,0,
624,237007,finance,Site Coordinator (H/F),3,0,
643,238419,sales,"Project Management in Flight Hours Services Processes, Methods and Tools (H/F)",3,0,
651,242137,supply,Assistant(e) des attachés douaniers à Sao Paulo (H/F),3,0,
718,238414,data,Environment Policy analyst - (H/F),2,0,
721,238405,sales,VIE R&D - R&D Innovation Business Unit Sourdough (H/F),3,0,
722,238404,sales,VIE R&D - Downstream Processing Development for Enzymes (H/F),3,0,
731,236472,sales,Accounting Specialist (H/F),3,0,
732,236471,sales,Accounting Specialist (H/F),3,0,
742,238398,finance,Régleur Injection Plastique (H/F),3,0,
759,231829,finance,INGÉNIEUR INDUSTRIEL (H/F),3,0,
786,237459,finance,INGÉNIEUR QUALITÉ (H/F),3,0,
799,232756,finance,INGENIEUR QUALITE H/F (H/F),3,0,
805,238326,finance,Expert Irrigation – Afrique de l'Ouest (Customer Success & Avant-Vente) (H/F),3,0,
821,235890,finance,INGENIEUR(E) MECATRONIQUE (H/F),3,0,
826,233039,finance,INGENIEUR AUTOMATICIEN H/F (H/F),3,0,
852,238296,sales,Energy Advisory Analyst (H/F),3,0,
853,238295,sales,Energy Advisory Analyst (H/F),3,0,
865,238263,finance,Chargé de qualité (H/F),3,0,
870,237233,finance,Chargé de missions productions maraichère et fruitière (H/F),3,0,
875,231542,finance,V.I.E MECHANICAL ENGINEER (F/H) (H/F),2,0,
879,227513,engineering,TECHNICIEN MECATRONIQUE (H/F),2,0,
886,227499,engineering,INGÉNIEUR QUALITÉ FOURNISSEUR SPECIALISE FONDERIE (H/F),2,0,
888,237501,admin,Technology training support (H/F),3,0,
911,238250,finance,Qualité Fabrication Back-End (H/F),0,3,
933,238197,engineering,Business Developer - VIE - Barcelone (H/F),3,0,
937,238188,sales,PROJECT MANAGER (H/F) - RAIL BALTICA SLEEPERS & BEARERS,3,0,
944,237239,supply,VIE - HR Learning & Development Officer (M/W/D) (H/F),3,0,
959,231204,finance,INGENIEUR QUALITE ( H/F) (H/F),3,0,
