offer_id,domain_tag,v2_skills,v3_skills,v3_core_metier,v3_tool,v3_context,v3_noise
1,sales,1,4,2,1,1,0
3,finance,1,5,3,1,0,1
4,data,3,4,1,2,1,0
5,engineering,1,5,3,1,1,0
6,finance,3,5,3,2,0,0
7,sales,3,5,3,2,0,0
8,sales,3,5,2,2,1,0
9,sales,4,5,5,0,0,0
42,engineering,1,4,4,0,0,0
43,finance,2,3,1,2,0,0
44,finance,2,5,4,1,0,0
45,data,3,5,4,0,1,0
46,sales,2,5,4,0,1,0
47,finance,2,4,3,1,0,0
48,operations,0,4,3,1,0,0
50,supply,2,4,3,0,1,0
55,supply,0,5,4,1,0,0
59,engineering,0,5,3,2,0,0
60,operations,1,5,5,0,0,0
62,supply,1,5,5,0,0,0
64,engineering,3,5,5,0,0,0
77,supply,2,4,3,1,0,0
102,supply,1,5,5,0,0,0
106,data,5,5,3,2,0,0
108,operations,1,4,3,0,1,0
118,operations,1,5,5,0,0,0
126,data,3,3,1,2,0,0
138,operations,2,3,2,1,0,0
