skill_uri,label,count,frequency_ratio,cluster_count,dominant_cluster,dominant_cluster_share,max_concentration
http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,analyse de données,394,0.46961,6,DATA_IT,0.665,1.461
http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,gestion de projets,382,0.4553,6,DATA_IT,0.382,1.45
,support,380,0.45292,6,DATA_IT,0.511,1.121
http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,378,0.45054,6,DATA_IT,0.431,1.393
,solutions,346,0.4124,6,DATA_IT,0.538,1.181
,skills,338,0.40286,6,DATA_IT,0.491,1.241
,international,332,0.39571,6,DATA_IT,0.461,1.097
,business,332,0.39571,6,DATA_IT,0.482,1.61
,management,319,0.38021,6,DATA_IT,0.483,1.284
,performance,318,0.37902,6,DATA_IT,0.456,1.57
,missions,316,0.37664,6,DATA_IT,0.427,1.302
http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,anglais,307,0.36591,6,DATA_IT,0.427,1.392
,role,307,0.36591,6,DATA_IT,0.459,1.286
,master,298,0.35518,6,DATA_IT,0.483,1.453
,english,292,0.34803,6,DATA_IT,0.524,1.211
,team,278,0.33135,6,DATA_IT,0.558,1.225
,you,270,0.32181,6,DATA_IT,0.526,1.155
,clients,269,0.32062,6,DATA_IT,0.416,1.529
,projets,268,0.31943,6,DATA_IT,0.418,1.293
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,cycle de développement logiciel,267,0.31824,6,DATA_IT,0.502,1.364
,developpement,266,0.31704,6,DATA_IT,0.5,1.369
,strong,265,0.31585,6,DATA_IT,0.498,1.43
http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programmation informatique,255,0.30393,6,DATA_IT,0.859,1.886
,environnement,253,0.30155,6,DATA_IT,0.395,1.412
,gestion,253,0.30155,6,DATA_IT,0.36,1.502
,techniques,252,0.30036,7,DATA_IT,0.444,3.329
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,informatique décisionnelle,251,0.29917,6,DATA_IT,0.869,1.908
,equipes,250,0.29797,6,DATA_IT,0.464,1.199
,formation,250,0.29797,6,DATA_IT,0.336,2.09
,ingenieur,248,0.29559,7,DATA_IT,0.423,3.383
,degree,245,0.29201,6,DATA_IT,0.473,1.27
,work,245,0.29201,6,DATA_IT,0.535,1.174
,competences,241,0.28725,6,DATA_IT,0.407,1.379
,nos,234,0.2789,6,DATA_IT,0.402,1.691
,teams,231,0.27533,6,DATA_IT,0.519,1.141
,engineering,226,0.26937,6,DATA_IT,0.451,1.485
,suivi,225,0.26818,6,DATA_IT,0.387,1.618
,development,225,0.26818,6,DATA_IT,0.489,1.499
,outils,225,0.26818,6,DATA_IT,0.44,1.266
,maitrise,223,0.26579,7,DATA_IT,0.466,3.762
http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,exploration de données,221,0.26341,6,DATA_IT,0.792,1.739
,production,221,0.26341,6,DATA_IT,0.407,2.057
,data,221,0.26341,6,DATA_IT,0.792,1.739
,process,214,0.25507,6,DATA_IT,0.5,1.098
,expertise,212,0.25268,6,DATA_IT,0.458,1.174
,assurer,208,0.24791,6,DATA_IT,0.433,1.585
,reporting,206,0.24553,6,DATA_IT,0.495,1.839
,vos,205,0.24434,6,DATA_IT,0.4,1.413
,collaboration,205,0.24434,6,DATA_IT,0.532,1.168
,capacite,204,0.24315,7,DATA_IT,0.441,4.113
,knowledge,204,0.24315,6,DATA_IT,0.549,1.206
,we,204,0.24315,6,DATA_IT,0.574,1.26
,participer,198,0.236,7,DATA_IT,0.485,4.237
,services,197,0.2348,6,DATA_IT,0.467,1.268
,qui,196,0.23361,6,DATA_IT,0.444,1.373
,projects,194,0.23123,6,DATA_IT,0.51,1.121
,it,193,0.23004,6,DATA_IT,0.85,1.866
