skill_uri,label,count,frequency_ratio,is_uri_backed
http://data.europa.eu/esco/skill/97bd1c21-66b2-4b7e-ad0f-e3cda590e378,analyse de données,394,0.46961,True
http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,gestion de projets,382,0.4553,True
,support,380,0.45292,False
http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7,communication,378,0.45054,True
,solutions,346,0.4124,False
,skills,338,0.40286,False
,international,332,0.39571,False
,business,332,0.39571,False
,management,319,0.38021,False
,performance,318,0.37902,False
,missions,316,0.37664,False
http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,anglais,307,0.36591,True
,role,307,0.36591,False
,master,298,0.35518,False
,english,292,0.34803,False
,team,278,0.33135,False
,you,270,0.32181,False
,clients,269,0.32062,False
,projets,268,0.31943,False
http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,cycle de développement logiciel,267,0.31824,True
,developpement,266,0.31704,False
,strong,265,0.31585,False
http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programmation informatique,255,0.30393,True
,environnement,253,0.30155,False
,gestion,253,0.30155,False
,techniques,252,0.30036,False
http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c,informatique décisionnelle,251,0.29917,True
,equipes,250,0.29797,False
,formation,250,0.29797,False
,ingenieur,248,0.29559,False
,degree,245,0.29201,False
,work,245,0.29201,False
,competences,241,0.28725,False
,nos,234,0.2789,False
,teams,231,0.27533,False
,engineering,226,0.26937,False
,suivi,225,0.26818,False
,development,225,0.26818,False
,outils,225,0.26818,False
,maitrise,223,0.26579,False
http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,exploration de données,221,0.26341,True
,production,221,0.26341,False
,data,221,0.26341,False
,process,214,0.25507,False
,expertise,212,0.25268,False
,assurer,208,0.24791,False
,reporting,206,0.24553,False
,vos,205,0.24434,False
,collaboration,205,0.24434,False
,capacite,204,0.24315,False
,knowledge,204,0.24315,False
,we,204,0.24315,False
,participer,198,0.236,False
,services,197,0.2348,False
,qui,196,0.23361,False
,projects,194,0.23123,False
,it,193,0.23004,False
,key,193,0.23004,False
,service,192,0.22884,False
,ensure,192,0.22884,False
