term,frequency,best_cluster,cluster_frequency,cluster_size,concentration_ratio,already_mapped,candidate_alias,examples
anglais,750,other,223,598,0.94,False,True,237241|237154|237149
communication,697,other,237,598,1.08,True,False,AZ-SAMPLE-0001|AZ-SAMPLE-0002|AZ-SAMPLE-0003
skills,660,other,227,598,1.09,False,True,237297|237109|237355
master,637,other,222,598,1.1,False,True,237362|237154|237149
english,635,other,231,598,1.15,False,True,235427|237109|237355
degree,532,other,195,598,1.16,False,True,237351|237342|237327
maitrise,531,other,168,598,1.0,False,True,237362|235428|233040
formation,511,engineering,156,539,1.07,False,True,237189|235428|230224
competences,497,other,171,598,1.09,False,True,AZ-SAMPLE-0001|AZ-SAMPLE-0002|AZ-SAMPLE-0003
international,497,other,185,598,1.18,False,True,237154|237297|237097
strong,480,other,166,598,1.09,False,True,237351|237348|237342
bac,456,other,142,598,0.99,False,True,236542|236541|236539
premiere,440,other,133,598,0.96,False,True,237362|237154|230224
business,425,other,145,598,1.08,False,True,236542|236541|236539
engineering,418,engineering,162,539,1.36,False,True,237355|237351|237328
outils,393,other,135,598,1.09,False,True,233040|236723|237097
management,387,other,151,598,1.24,False,True,236542|236541|236539
ingenieur,384,engineering,207,539,1.89,False,True,237189|236542|236541
capacite,374,other,121,598,1.02,False,True,237362|237241|237189
knowledge,374,other,134,598,1.13,False,True,237109|237355|237351
diplome,362,engineering,157,539,1.52,False,True,236542|236541|236539
excel,352,other,135,598,1.21,True,False,237154|237149|232891
ability,347,other,126,598,1.15,False,True,235427|237109|237355
fluent,345,other,119,598,1.09,False,True,237149|237351|237342
master degree,329,other,124,598,1.19,False,True,237325|237271|237157
connaissance,322,engineering,119,539,1.3,False,True,237154|233040|237297
esprit,321,other,98,598,0.97,False,True,237362|237241|237189
you,320,other,127,598,1.26,False,True,237342|237328|237327
environment,312,other,122,598,1.24,False,True,237109|237351|237342
francais,309,other,97,598,0.99,False,True,237241|236542|236541
developpement,305,engineering,86,539,0.99,False,True,AZ-SAMPLE-0001|AZ-SAMPLE-0002|AZ-SAMPLE-0003
environnement,304,engineering,102,539,1.18,False,True,237362|237189|237154
projets,303,engineering,107,539,1.24,False,True,AZ-SAMPLE-0001|AZ-SAMPLE-0002|AZ-SAMPLE-0003
gestion,296,other,103,598,1.1,False,True,AZ-SAMPLE-0001|AZ-SAMPLE-0002|AZ-SAMPLE-0003
equivalent,282,engineering,106,539,1.32,False,True,237362|237189|237154
work,280,other,111,598,1.25,False,True,237351|237348|237325
team,272,other,104,598,1.21,False,True,237109|237355|237351
techniques,269,engineering,107,539,1.4,False,True,237362|237189|236542
communication skills,269,other,99,598,1.17,False,True,237109|237351|237348
