offer_uid,diff_type
ft_200GYWS,DELETED
ft_200HDSG,DELETED
ft_200HGJD,DELETED
ft_200JSFY,DELETED
ft_200HFFM,DELETED
ft_200JKJC,DELETED
ft_200HCPZ,DELETED
ft_200JPKC,DELETED
ft_200GXLZ,DELETED
ft_200JTLP,DELETED
ft_200HBQT,DELETED
ft_200GVNT,DELETED
ft_200JTYS,DELETED
ft_200JLRC,DELETED
ft_200GYWM,DELETED
ft_200JVCF,DELETED
ft_200JMKG,DELETED
ft_200GXCB,DELETED
ft_200GXFG,DELETED
ft_200JSXB,DELETED
ft_200JSQK,DELETED
ft_200HHCL,DELETED
ft_200HCMG,DELETED
ft_200JNWS,DELETED
ft_200HGVV,DELETED
ft_200HBDS,DELETED
ft_200JKWL,DELETED
ft_200GVWM,DELETED
ft_200JSGQ,DELETED
ft_200HFBK,DELETED
ft_200GWHL,DELETED
ft_200HBPL,DELETED
ft_200JTVW,DELETED
ft_200JNXH,DELETED
ft_200JSVQ,DELETED
ft_200JSDS,DELETED
ft_200JQVM,DELETED
ft_200GYXZ,DELETED
ft_200GWNM,DELETED
ft_200JNWL,DELETED
ft_200GVSY,DELETED
ft_200HGCP,DELETED
ft_200GVWR,DELETED
ft_200JMGR,DELETED
ft_200HGGG,DELETED
ft_200JVFG,DELETED
ft_200GYQV,DELETED
ft_200JSPS,DELETED
ft_200JQJL,DELETED
ft_200JNZH,DELETED
ft_200JNZJ,DELETED
ft_200JTYB,DELETED
ft_200JNYL,DELETED
ft_200JPJB,DELETED
ft_200JKJN,DELETED
ft_200JVFC,DELETED
ft_200HGRL,DELETED
ft_200JPDG,DELETED
ft_200JKMJ,DELETED
ft_200JVBH,DELETED
ft_200GXJR,DELETED
ft_200JLCY,DELETED
ft_200HHFV,DELETED
ft_200HBTS,DELETED
ft_200JTCS,DELETED
ft_200GVTB,DELETED
ft_200HGTV,DELETED
ft_200HFHG,DELETED
ft_200JKWW,DELETED
ft_200GQZT,DELETED
ft_200JPXT,DELETED
ft_200GXDG,DELETED
ft_200HBPV,DELETED
ft_200GVSM,DELETED
ft_200GZRK,DELETED
ft_200HDBX,DELETED
ft_200HBHN,DELETED
ft_200HFQJ,DELETED
ft_200HGGK,DELETED
ft_200GYCL,DELETED
ft_200HDWK,DELETED
ft_200JQBV,DELETED
ft_200GVJF,DELETED
ft_200JNQC,DELETED
ft_200JSRV,DELETED
ft_200HCQQ,DELETED
ft_200JLRF,DELETED
ft_200JQXM,DELETED
ft_200JQVZ,DELETED
ft_200JLGD,DELETED
ft_200GVJP,DELETED
ft_200JRFL,DELETED
ft_200JNNF,DELETED
ft_200JNZD,DELETED
ft_200JKLF,DELETED
ft_200JKXZ,DELETED
ft_200HCWS,DELETED
ft_200JSCG,DELETED
ft_200GWCM,DELETED
ft_200GWLX,DELETED
ft_200JLXN,DELETED
ft_200GRHW,DELETED
ft_200JKJG,DELETED
ft_200GXFN,DELETED
ft_200JRFB,DELETED
ft_200JMRY,DELETED
ft_200JVFM,DELETED
ft_200HBXF,DELETED
ft_200HFVV,DELETED
ft_200GYRF,DELETED
ft_200HDPN,DELETED
ft_200JJQM,DELETED
ft_200JLWW,DELETED
ft_200JMKB,DELETED
ft_200JQWV,DELETED
ft_200GYRS,DELETED
ft_200HBHH,DELETED
ft_200GXFS,DELETED
ft_200GVLD,DELETED
ft_200GZTK,DELETED
ft_200HGWY,DELETED
ft_200GWYK,DELETED
ft_200JJCR,DELETED
ft_200GVHG,DELETED
ft_200JNPN,DELETED
ft_200JSQR,DELETED
ft_200JSMV,DELETED
ft_200JKKY,DELETED
ft_200JLGL,DELETED
ft_200HFTZ,DELETED
ft_200JSKB,DELETED
ft_200JPLS,DELETED
ft_200JSJY,DELETED
ft_200GVXV,DELETED
ft_200GZJZ,DELETED
ft_200JJPJ,DELETED
ft_200HDQW,DELETED
ft_200HFXK,DELETED
ft_200GZVY,DELETED
ft_200JQWN,DELETED
ft_200GYGS,DELETED
ft_200GYZC,DELETED
ft_200GWCZ,DELETED
ft_200JMPP,DELETED
ft_200HCDT,DELETED
ft_200JKSC,DELETED
ft_200JRHN,DELETED
ft_200JTYH,DELETED
ft_200GYVC,DELETED
ft_200JVMG,DELETED
ft_200GZGF,DELETED
ft_200JPVZ,DELETED
ft_200GXGK,DELETED
ft_200GVHK,DELETED
ft_200JJBB,DELETED
ft_200JQLB,DELETED
ft_200GYWG,DELETED
ft_200JJJQ,DELETED
ft_200JPLZ,DELETED
ft_200HFNH,DELETED
ft_200JQKT,DELETED
ft_200JTZJ,DELETED
ft_200JNMS,DELETED
ft_200HDMS,DELETED
ft_200HFJY,DELETED
ft_200GYGC,DELETED
ft_200JTFZ,DELETED
ft_200JVLX,DELETED
ft_200JTFJ,DELETED
ft_200GZPQ,DELETED
ft_200GZJY,DELETED
ft_200HFQB,DELETED
ft_200HDSB,DELETED
ft_200JVHH,DELETED
ft_200GVXM,DELETED
ft_200HGRK,DELETED
ft_200GYGF,DELETED
ft_200JNST,DELETED
ft_200HBQM,DELETED
ft_200JTKC,DELETED
ft_200HCPC,DELETED
ft_200JPWG,DELETED
ft_200JVQD,DELETED
ft_200JJJH,DELETED
ft_200JTYL,DELETED
ft_200GZCM,DELETED
ft_200GZXG,DELETED
ft_200JMDQ,DELETED
ft_200GQYY,DELETED
ft_200HCYQ,DELETED
ft_200HFJK,DELETED
ft_200GRFP,DELETED
ft_200JPCT,DELETED
ft_200JMRK,DELETED
ft_200JTYM,DELETED
ft_200HBHB,DELETED
ft_200JKXS,DELETED
ft_200JKGZ,DELETED
ft_200GZZP,DELETED
ft_200GXRH,DELETED
ft_200JSNB,DELETED
ft_200GZXD,DELETED
ft_200HBKW,DELETED
ft_200JPMG,DELETED
ft_200HBCT,DELETED
ft_200GWCC,DELETED
ft_200JJHD,DELETED
ft_200GWMG,DELETED
ft_200JSKG,DELETED
ft_200GXDW,DELETED
ft_200JQMN,DELETED
ft_200GRFR,DELETED
ft_200GWQM,DELETED
ft_200JMBQ,DELETED
ft_200GXNL,DELETED
ft_200GVLJ,DELETED
ft_200JNYD,DELETED
ft_200JTVL,DELETED
ft_200HCTY,DELETED
ft_200JQXS,DELETED
ft_200GYHV,DELETED
ft_200HFYC,DELETED
ft_200JQNM,DELETED
ft_200HGHM,DELETED
ft_200JTFR,DELETED
ft_200JVNF,DELETED
ft_200JPSX,DELETED
ft_200JQYX,DELETED
ft_200JSMJ,DELETED
ft_200HGMV,DELETED
ft_200HHGK,DELETED
ft_200JSQW,DELETED
ft_200GZCD,DELETED
ft_200JKTG,DELETED
ft_200JKVZ,DELETED
ft_200JNFX,DELETED
ft_200JJNM,DELETED
ft_200GVKG,DELETED
ft_200JTBZ,DELETED
ft_200GZJJ,DELETED
ft_200JSKD,DELETED
ft_200GYSH,DELETED
ft_200HBLS,DELETED
ft_200JJJZ,DELETED
ft_200GYGR,DELETED
ft_200JKZY,DELETED
ft_200JMNP,DELETED
ft_200JMKF,DELETED
ft_200JRNZ,DELETED
ft_200GXBZ,DELETED
ft_200JVBX,DELETED
ft_200GVWG,DELETED
ft_200HBBF,DELETED
ft_200GZKQ,DELETED
ft_200HHCF,DELETED
ft_200GWZW,DELETED
ft_200GWLT,DELETED
ft_200HGNJ,DELETED
ft_200GWJH,DELETED
ft_200JQDB,DELETED
ft_200JPFQ,DELETED
ft_200JLTS,DELETED
ft_200JRKC,DELETED
ft_200JKBN,DELETED
ft_200GXXB,DELETED
ft_200JVPN,DELETED
ft_200JLBL,DELETED
ft_200HGKK,DELETED
ft_200JSBV,DELETED
ft_200GZGR,DELETED
ft_200HFHN,DELETED
ft_200HDGS,DELETED
ft_200JVMY,DELETED
ft_200HGKL,DELETED
ft_200JLMC,DELETED
ft_200JKXW,DELETED
ft_200JQGD,DELETED
ft_200HHDW,DELETED
ft_200GQZJ,DELETED
ft_200HHGH,DELETED
ft_200JPFV,DELETED
ft_200JQCJ,DELETED
ft_200GWDV,DELETED
ft_200JPBP,DELETED
ft_200GXZF,DELETED
ft_200GVVC,DELETED
ft_200GWMR,DELETED
ft_200GXMQ,DELETED
ft_200HDSP,DELETED
ft_200JJPQ,DELETED
ft_200JRJY,DELETED
ft_200JQRJ,DELETED
ft_200JSHQ,DELETED
ft_200JPZQ,DELETED
ft_200GXTM,DELETED
ft_200JTZW,DELETED
ft_200HCKH,DELETED
ft_200JTBL,DELETED
ft_200GZFG,DELETED
ft_200GYSF,DELETED
ft_200HDSH,DELETED
ft_200JJTZ,DELETED
ft_200GZNS,DELETED
ft_200JJMR,DELETED
ft_200HDLL,DELETED
ft_200GZFK,DELETED
ft_200JVCB,DELETED
ft_200GWKY,DELETED
ft_200JLLR,DELETED
ft_200JJJL,DELETED
ft_200HGMG,DELETED
ft_200JQBT,DELETED
ft_200GYHM,DELETED
ft_200JQFY,DELETED
ft_200GZRV,DELETED
ft_200HGDH,DELETED
ft_200GWWN,DELETED
ft_200JKVM,DELETED
ft_200JMGJ,DELETED
ft_200JQMS,DELETED
ft_200JTWV,DELETED
ft_200JJSY,DELETED
ft_200GXFL,DELETED
ft_200GYTX,DELETED
ft_200HDKZ,DELETED
ft_200GRLQ,DELETED
